sample,group,bulb length,bulb width,stem width bottom,stem width top,stem length,rosette leaf,stem leaf,raceme,floret spacing,floret length,splitting stem,roots at nodes,growth form,sequenced,col,pch
ZAM17_01,C4,84.5,12.59,2.13,0.99,952.54,335.42,114.57,97.08,5.52,4.47,N,N,E,N,#63ACBE,16
ZAM17_18,erect,13.36,2.54,1.38,0.81,810.41,442.76,269.93,179.73,9.97,4.13,N,N,E,N,#EE442F,16
ZAM17_20B,erect,48.32,10.18,1.96,0.67,303.55,272.42,33.45,135.43,14.11,4.28,N,N,E,Y,#EE442F,16
ZAM17_22,erect,40.9,7.56,2.49,1.04,818.86,331.62,138.65,151.57,11.73,3.87,N,N,E,N,#EE442F,16
ZAM19_30_03,erect,26.25,3.84,1.93,0.67,547.92,67.77,137.26,95.52,8.61,3.46,N,N,E,N,#EE442F,16
ZAM19_30_05,decumbent,10.79,2.23,0.75,0.4,544.46,0,77.92,83.84,6.98,3.1,Y,N,D,N,#601A4A,17
ZAM19_30_10,decumbent,16.67,1.86,0.91,0.61,686.44,86.2,127.79,46.27,5.36,2.88,Y,Y,D,N,#601A4A,17
ZAM19_30_13,decumbent,17.95,2.22,0.93,0.41,751.74,0,30.02,55.78,6.19,2.74,Y,Y,D,N,#601A4A,17
ZAM19_30_17,decumbent,13.11,2.04,1.34,0.54,662.1,202.73,120,77.47,5.7,2.74,Y,N,D,Y,#601A4A,17
ZAM19_30_22,erect,25.21,6.62,1.45,0.92,579.1,90.12,212.78,61.39,5.19,3.28,N,N,E,N,#EE442F,16
ZAM19_30_26,erect,14.96,4.74,1.58,0.6,582.49,52.42,189.05,125.13,8.34,3.48,N,N,E,N,#EE442F,16
ZAM19_30_28,erect,29.24,8.57,1.51,0.56,455.73,135.34,237.54,79.52,7.27,3.65,N,N,E,N,#EE442F,16
ZAM19_31_01,erect,38.2,5.46,2.15,0.69,520.65,217.77,201.44,152.83,13.02,3.72,N,N,E,N,#EE442F,16
ZAM19_31_02,erect,20.33,4.45,1.43,0.65,573.78,227.94,43.98,111.74,12.89,4.08,N,N,E,N,#EE442F,16
ZAM19_31_06,erect,27.99,5,2.19,0.85,668.36,138.98,127.28,185.58,12.6,3.7,N,N,E,N,#EE442F,16
ZAM19_32_ang,erect,24.86,2.11,2.09,0.79,838.69,64.14,120.15,109.29,9.26,3.95,N,N,E,N,#EE442F,16
ZAM19_32_sem,C4,55.89,8.62,1.9,0.78,913.14,328.11,45.86,52.84,8.58,5.07,N,N,E,N,#63ACBE,16
ZAM19_33a,erect,30.81,8.98,1.87,0.68,817.73,350.13,294.64,99.68,8.2,4.4,N,N,E,Y,#EE442F,16
ZAM19_33b,erect,29.39,8.65,1.34,0.6,620.26,318.3,230.46,107.33,7.26,4.38,N,N,E,Y,#EE442F,16
ZAM19_42_06,erect,40.02,5.46,1.81,0.66,466.22,166.08,167.8,125.69,8.45,4,N,N,E,N,#EE442F,16
